"","sub_1","sub_2","sub_3","sub_4","sub_5","sub_6","sub_7","sub_8","sub_9","sub_10"
"Gower + PAM",0.301473018261446,0.374052998895036,0.570139395036222,0.147987425726953,0.207565411990994,0.180273940775822,0.289521645617865,0.315387872210439,0.50731954923249,0.316653531663897
"Gower + hierarchical",0.4420661990813,0.471794220015897,0.390120547731327,0.164079336772284,0.508933574228702,0.201826171565072,0.422978224510184,0.441539685185418,0.442640219822535,0.593135075310767
"k-prototypes",0.842323523343376,0.792464367101397,0.86223271709697,0.817115968251432,0.88168206719717,0.896469723639347,0.872657113783746,0.888011731153772,0.911364103049601,0.86224360101684
"FAMD-style + k-means",0.871409324577477,0.819265376076033,0.830164841738279,0.840217282422728,0.805226671121364,0.807145395315348,0.775458750095655,0.779489467350028,0.779903451944556,0.833328819208056
"Latent-embedding mixture",0.759118622664291,0.769526267332977,0.763323064088392,0.669245803861178,0.767269632750358,0.780860865036203,0.752430718301622,0.727567261156117,0.763742955148249,0.759880238608769
"Latent class/profile",0.814873499770638,0.782762785905494,0.768408017795547,0.827930464447714,0.815401788113934,0.823516611616856,0.831148915567347,0.805640933227263,0.758800100958208,0.810077539722751
"Gower spectral",0.824960641639696,0.857549096928592,0.872500514449728,0.847305525881449,0.832005734172159,0.887944664424103,0.863611463691629,0.865134227087479,0.807464661659487,0.857680610617508
"Grand consensus",0.818618730086459,0.839124710236098,0.850320940381952,0.841275206162681,0.857060679329018,0.845560150268229,0.822281832745443,0.826877220755054,0.833629960783152,0.84253594999338
