"method","ARI","NMI","best_match_accuracy","gower_silhouette","imputation_stability","subsample_stability","mean_runtime_seconds"
"Gower + PAM",0.373443891062226,0.361990013718852,0.7125,0.0415261338460331,0.30411063420809,0.321037478941116,0.0078750000000001
"Gower + hierarchical",0.571686566105762,0.520052462519324,0.815,0.0515928489912805,0.346849637869839,0.407911325422349,0.000999999999999418
"k-prototypes",0.614801760280569,0.567803503582628,0.8375,0.0545603777694833,0.828498317776021,0.862656491563365,3.458875
"FAMD-style + k-means",0.459193456731603,0.433552847916654,0.755,0.0503956510566786,0.799260937432022,0.814160937984952,0.00649999999999928
"Latent-embedding mixture",0.45640973463021,0.431833240102427,0.755,0.0484301307672435,0.780196539113352,0.751296542894816,0.0252500000000004
"Latent class/profile",0.573633624156227,0.53627322794335,0.8175,0.0523227470127448,0.81324081262542,0.803856065712575,0.234624999999999
"Gower spectral",0.606841107738624,0.555537556846283,0.835,0.0564722350830445,0.815293302239518,0.851615714055183,0.0458750000000007
"Grand consensus",0.554312826237071,0.512372378024722,0.8075,0.054433226819097,0.794003625171222,0.837728538074147,3.78
